constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
AS-AC0001,Assam,Semi-Urban,AGP,81.33,12.4445,15.2303,2011
PU-AC0002,Puducherry,Rural,INC,74.99,3.1702,-5.2517,2011
KE-AC0003,Kerala,Rural,LDF,78.09,32.5259,-1.6387,2011
KE-AC0004,Kerala,Semi-Urban,UDF,77.03,14.9007,19.1277,2011
AS-AC0005,Assam,Rural,INC,75.7,-3.6271,-10.5771,2011
PU-AC0006,Puducherry,Semi-Urban,INC,76.62,9.8812,8.8176,2011
WE-AC0007,West Bengal,Rural,TMC,74.88,12.4132,1.3443,2011
KE-AC0008,Kerala,Urban,BJP,56.57,1.9882,-3.0921,2011
PU-AC0009,Puducherry,Rural,INC,85.36,13.1283,2.9656,2011
PU-AC0010,Puducherry,Rural,INC,86.08,12.4714,15.6464,2011
WE-AC0011,West Bengal,Rural,CPIM,84.59,12.4068,0.19,2011
KE-AC0012,Kerala,Rural,INC,85.05,12.3341,8.9663,2011
AS-AC0013,Assam,Rural,BJP,81.28,25.3922,7.5079,2011
WE-AC0014,West Bengal,Rural,BJP,73.62,6.7847,-5.0664,2011
KE-AC0015,Kerala,Rural,UDF,90.13,28.513,1.7458,2011
TA-AC0016,Tamil Nadu,Rural,DMK,77.45,9.5271,-0.8417,2011
AS-AC0017,Assam,Rural,INC,95.0,10.7897,10.5159,2011
PU-AC0018,Puducherry,Rural,BJP,91.7,17.1043,21.9046,2011
AS-AC0019,Assam,Rural,AGP,78.58,-0.099,-3.6554,2011
TA-AC0020,Tamil Nadu,Semi-Urban,BJP,81.34,16.808,8.7332,2011
AS-AC0021,Assam,Urban,AIUDF,63.58,20.8598,3.7777,2011
WE-AC0022,West Bengal,Urban,CPIM,67.97,21.8939,4.7171,2011
KE-AC0023,Kerala,Semi-Urban,LDF,79.68,31.4644,11.0269,2011
PU-AC0024,Puducherry,Rural,INC,71.55,-11.381,-19.3457,2011
AS-AC0025,Assam,Rural,INC,88.17,13.588,9.5841,2011
PU-AC0026,Puducherry,Rural,INC,82.78,16.1228,8.7216,2011
PU-AC0027,Puducherry,Urban,DMK,75.79,3.3986,-0.3119,2011
PU-AC0028,Puducherry,Semi-Urban,BJP,74.07,15.7134,-0.7283,2011
TA-AC0029,Tamil Nadu,Rural,AIADMK,82.41,11.4105,3.8532,2011
TA-AC0030,Tamil Nadu,Urban,BJP,52.14,-4.7043,-11.8304,2011
WE-AC0031,West Bengal,Rural,INC,76.06,4.9808,4.95,2011
TA-AC0032,Tamil Nadu,Urban,AIADMK,59.9,4.2905,0.8187,2011
WE-AC0033,West Bengal,Urban,CPIM,64.0,20.5976,10.8895,2011
AS-AC0034,Assam,Rural,AGP,95.0,36.2871,7.6371,2011
TA-AC0035,Tamil Nadu,Rural,DMK,80.1,7.3429,8.5243,2011
WE-AC0036,West Bengal,Rural,INC,70.88,4.3464,-3.4313,2011
PU-AC0037,Puducherry,Rural,BJP,70.47,-2.3705,-4.8423,2011
WE-AC0038,West Bengal,Rural,BJP,81.64,9.291,10.968,2011
PU-AC0039,Puducherry,Semi-Urban,BJP,75.03,14.0965,7.5594,2011
TA-AC0040,Tamil Nadu,Urban,DMK,65.74,10.1545,1.2609,2011
KE-AC0041,Kerala,Semi-Urban,INC,79.47,6.7788,4.4689,2011
TA-AC0042,Tamil Nadu,Urban,AIADMK,58.75,18.1976,11.1689,2011
TA-AC0043,Tamil Nadu,Urban,DMK,71.6,1.0312,-0.4009,2011
AS-AC0044,Assam,Urban,AIUDF,68.18,9.1166,6.1037,2011
PU-AC0045,Puducherry,Urban,BJP,71.15,13.2908,8.5786,2011
WE-AC0046,West Bengal,Rural,CPIM,82.22,31.1244,8.5397,2011
AS-AC0047,Assam,Rural,AGP,84.28,24.9958,20.9239,2011
PU-AC0048,Puducherry,Rural,DMK,76.47,18.4295,-0.0882,2011
TA-AC0049,Tamil Nadu,Semi-Urban,INC,78.43,9.0139,4.9606,2011
TA-AC0050,Tamil Nadu,Rural,DMK,72.41,18.555,0.7901,2011
WE-AC0051,West Bengal,Rural,BJP,82.81,3.8969,-9.5439,2011
KE-AC0052,Kerala,Urban,LDF,61.56,1.056,-19.1491,2011
KE-AC0053,Kerala,Rural,UDF,81.06,5.917,4.0171,2011
TA-AC0054,Tamil Nadu,Urban,DMK,66.28,14.0048,9.835,2011
WE-AC0055,West Bengal,Rural,BJP,87.7,-4.1528,-7.6735,2011
