constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
AS-AC0001,Assam,Semi-Urban,AGP,80.39,10.7586,-2.3415,2016
PU-AC0002,Puducherry,Rural,INC,72.71,-0.9437,-5.7138,2016
KE-AC0003,Kerala,Rural,LDF,72.18,21.8963,-14.7633,2016
KE-AC0004,Kerala,Semi-Urban,INC,68.92,0.3083,-20.2672,2016
AS-AC0005,Assam,Rural,INC,78.99,2.2952,8.2254,2016
PU-AC0006,Puducherry,Semi-Urban,BJP,72.58,2.6158,-10.0909,2016
WE-AC0007,West Bengal,Rural,TMC,77.21,16.6045,5.8212,2016
KE-AC0008,Kerala,Urban,BJP,57.89,4.3733,3.3126,2016
PU-AC0009,Puducherry,Rural,INC,81.21,5.6559,-10.3783,2016
PU-AC0010,Puducherry,Rural,DMK,75.6,-6.3908,-26.1975,2016
WE-AC0011,West Bengal,Rural,CPIM,82.46,8.559,-5.3442,2016
KE-AC0012,Kerala,Rural,INC,82.61,7.9398,-6.1032,2016
AS-AC0013,Assam,Rural,BJP,79.97,23.0333,-3.2763,2016
WE-AC0014,West Bengal,Rural,CPIM,68.38,-2.6469,-13.0995,2016
KE-AC0015,Kerala,Rural,UDF,91.16,30.3674,2.5755,2016
TA-AC0016,Tamil Nadu,Rural,DMK,82.4,18.4336,12.3702,2016
AS-AC0017,Assam,Rural,INC,94.14,9.2466,-2.1432,2016
PU-AC0018,Puducherry,Rural,BJP,87.73,9.9724,-9.9054,2016
AS-AC0019,Assam,Rural,AGP,81.18,4.5744,6.4909,2016
TA-AC0020,Tamil Nadu,Semi-Urban,BJP,82.16,18.2887,2.0565,2016
AS-AC0021,Assam,Urban,AIUDF,63.83,21.3121,0.6282,2016
WE-AC0022,West Bengal,Urban,CPIM,66.83,19.8384,-2.8549,2016
KE-AC0023,Kerala,Semi-Urban,LDF,72.28,18.1458,-18.498,2016
PU-AC0024,Puducherry,Rural,AINRC,72.15,-10.2963,1.5066,2016
AS-AC0025,Assam,Rural,INC,89.84,16.5985,4.1812,2016
PU-AC0026,Puducherry,Rural,INC,87.99,25.4853,13.0035,2016
PU-AC0027,Puducherry,Urban,BJP,75.75,3.3152,-0.1158,2016
PU-AC0028,Puducherry,Semi-Urban,BJP,70.69,9.6165,-8.4679,2016
TA-AC0029,Tamil Nadu,Rural,AIADMK,78.87,5.0467,-8.8386,2016
TA-AC0030,Tamil Nadu,Urban,AIADMK,53.94,-1.4659,4.4977,2016
WE-AC0031,West Bengal,Rural,INC,75.4,3.7906,-1.6531,2016
TA-AC0032,Tamil Nadu,Urban,AIADMK,69.16,20.956,23.1466,2016
WE-AC0033,West Bengal,Urban,CPIM,64.25,21.0604,0.6428,2016
AS-AC0034,Assam,Rural,AGP,95.0,36.2871,0.0,2016
TA-AC0035,Tamil Nadu,Rural,AIADMK,76.93,1.6368,-7.9252,2016
WE-AC0036,West Bengal,Rural,INC,71.62,5.6702,1.8386,2016
PU-AC0037,Puducherry,Rural,BJP,75.53,6.7513,12.6691,2016
